Champion,con_champ,BP,Ban,Pick,Win_rate,Duo_Score,Count_Score
kalista,aatrox,881,719.0,162.0,54.94,-4.94,-29.94
kalista,ahri,881,719.0,162.0,54.94,-7.88,8.7
kalista,akali,881,719.0,162.0,54.94,45.06,2.2
kalista,alistar,881,719.0,162.0,54.94,-21.61,35.97
kalista,ambessa,881,719.0,162.0,54.94,-3.09,3.88
kalista,amumu,881,719.0,162.0,54.94,45.06,0.0
kalista,anivia,881,719.0,162.0,54.94,0.0,-54.94
kalista,annie,881,719.0,162.0,54.94,30.77,2.2
kalista,aphelios,881,719.0,162.0,54.94,0.0,-54.94
kalista,ashe,881,719.0,162.0,54.94,20.06,-17.44
kalista,aurelion sol,881,719.0,162.0,54.94,-4.94,0.0
kalista,aurora,881,719.0,162.0,54.94,-24.17,21.98
kalista,azir,881,719.0,162.0,54.94,-4.94,3.39
kalista,bard,881,719.0,162.0,54.94,0.0,11.73
kalista,blitzcrank,881,719.0,162.0,54.94,-4.94,0.0
kalista,brand,881,719.0,162.0,54.94,0.0,45.06
kalista,braum,881,719.0,162.0,54.94,45.06,11.73
kalista,caitlyn,881,719.0,162.0,54.94,0.0,2.2
kalista,camille,881,719.0,162.0,54.94,30.77,0.0
kalista,cassiopeia,881,719.0,162.0,54.94,11.73,0.0
kalista,chogath,881,719.0,162.0,54.94,45.06,45.06
kalista,corki,881,719.0,162.0,54.94,-38.27,-4.94
kalista,draven,881,719.0,162.0,54.94,0.0,-14.94
kalista,elise,881,719.0,162.0,54.94,-4.94,7.56
kalista,ezreal,881,719.0,162.0,54.94,0.0,-21.61
kalista,galio,881,719.0,162.0,54.94,17.79,-4.94
kalista,gnar,881,719.0,162.0,54.94,20.06,25.06
kalista,gragas,881,719.0,162.0,54.94,16.49,-54.94
kalista,gwen,881,719.0,162.0,54.94,-29.94,-21.61
kalista,hwei,881,719.0,162.0,54.94,-38.27,-14.94
kalista,jarvan iv,881,719.0,162.0,54.94,16.49,-54.94
kalista,jax,881,719.0,162.0,54.94,5.06,2.2
