Champion,AD_p,AP_p,TD_p,avg_dpm,tank_death,tank_time,deal_death,deal_time,tank_death_norm,tank_time_norm,tank_norm_total,deal_death_norm,deal_time_norm,deal_norm_total
aatrox,476.918,86.19,11.492,574.6,9348.95907,1068.8675,5013.9911,574.6,1.640217612431249,1.578856408960229,3.219074021391478,1.1213721554296379,1.136376155589282,2.25774831101892
ahri,52.4552,445.8692,157.3656,655.69,6110.08251,603.0352,6647.8625,655.69,1.0719765560285135,0.8907614745032603,1.9627380305317739,1.4867852279643776,1.2967464000319113,2.7835316279962887
kaisa,378.8792,284.1594,13.5314,676.57,4722.99316,487.3933,6638.7029,676.57,0.828620224606922,0.7199433375879383,1.5485635621948601,1.4847366961281576,1.3380404030404462,2.822777099168604
nilah,382.4225,0.0,11.8275,394.25,5105.11765,666.5,3017.5294,394.25,0.895661626109101,0.9845072439493133,1.8801688700584145,0.6748662651894818,0.7797011822851972,1.454567447474679
poppy_support,176.7825,28.2852,30.6423,235.71,3927.39572,507.7154,1782.8111,235.71,0.6890375262848494,0.7499617241779792,1.4389992504628286,0.3987232298698901,0.4661594563765222,0.8648826862464123
rakan_support,31.1049,112.9599,19.6452,163.71,4507.31306,545.2618,1335.7937,163.71,0.7907804719647133,0.8054226435841586,1.5962031155488718,0.2987484083444685,0.32376634255398773,0.6225147508984562
taliyah,32.921,618.9148,6.5842,658.42,4425.26719,487.6342,5981.1046,658.42,0.776386026551739,0.7202991782407026,1.4966852047924415,1.3376657483799923,1.3021454722643488,2.639811220644341
vi,331.4252,0.0,21.1548,352.58,5152.95202,696.717,2588.6934,352.58,0.9040538733706512,1.029141685645362,1.933195559016013,0.5789576885576198,0.6972911676604054,1.2762488562180252
warwick,130.95,214.6125,18.1875,363.75,6913.19048,1069.5,2455.381,363.75,1.212876930841889,1.5797906937791306,2.7926676246210196,0.5491425551934025,0.7193818771242626,1.268524432317665
xin zhao,429.309,23.8505,23.8505,477.01,7727.86258,1011.6673,3644.7043,477.01,1.3558061614408579,1.4943642690422252,2.8501704304830833,0.8151330617229593,0.9433741558956549,1.758507217618614
