middle_gold,late_gold
-18.2,-4.66
-1.38,1.93
14.35,20.11
-22.33,-18.2
-18.55,-8.74
-6.32,-1.05
6.52,1.39
6.19,11.2
7.34,8.01
-2.88,9.54
32.5,-8.66
-4.9,-7.0
-20.08,-6.72
6.64,14.83
20.77,33.0
4.83,-26.97
1.7,-5.68
29.2,18.35
3.42,-15.51
-10.92,-3.7
-11.74,-25.26
14.58,2.97
2.43,1.51
-0.73,12.49
-11.96,-20.92
6.74,20.6
5.74,26.78
6.54,13.55
6.45,25.33
-16.39,-8.54
15.86,22.87
-1.25,-9.06
3.57,22.2
-2.7,-3.94
-4.35,-36.21
17.75,20.47
14.4,12.93
1.94,7.34
11.39,10.88
-1.27,-7.06
10.14,23.46
11.91,19.13
9.27,0.81
-3.09,-4.73
9.67,35.56
1.5,34.98
-9.26,-21.23
34.07,33.88
1.22,-15.88
-6.57,-18.9
-19.72,-24.01
4.37,7.63
33.75,23.26
1.79,-10.34
-1.58,3.67
-2.52,5.02
-5.83,-4.13
-11.98,-8.23
-8.92,-18.57
12.63,16.95
-2.94,5.1
25.08,38.93
4.19,8.25
5.75,-10.25
-12.93,-20.44
4.15,-4.38
-5.49,-9.97
-5.57,-0.54
-2.02,-6.9
1.24,25.22
-15.83,-16.02
2.6,6.69
-2.91,2.89
30.53,56.33
37.95,43.98
-0.71,-16.87
-13.98,-27.42
2.96,-4.68
19.32,48.88
-16.44,-15.19
13.32,13.9
-6.16,-14.01
1.42,-3.18
-25.34,-27.19
1.38,-23.94
-2.16,0.24
14.02,18.74
-0.88,7.15
15.84,21.26
13.68,24.54
-4.87,-3.14
9.35,18.9
9.29,33.36
-4.92,4.1
6.56,3.87
11.75,26.78
13.91,14.11
-11.95,-19.31
-11.96,-10.7
-4.75,-3.27
6.44,11.04
15.13,7.34
2.76,0.86
3.88,-7.33
-6.46,-9.27
-4.07,7.56
18.14,38.89
5.47,14.81
-13.54,-13.86
3.13,-7.65
1.95,11.81
29.09,35.41
-2.49,14.94
18.12,22.38
-18.05,-16.31
-1.64,-24.62
-13.19,2.67
-23.49,-31.11
-19.31,-29.62
8.32,21.76
-7.58,-22.7
-12.5,-17.81
25.11,33.87
-22.16,-39.4
11.24,11.95
28.08,38.03
9.7,26.07
0.19,-4.98
-15.39,-5.13
-0.1,-2.39
13.25,33.18
-13.27,-9.09
12.83,13.4
-65.96,-38.63
-37.09,-53.33
11.27,30.56
7.67,8.88
-28.15,-43.76
-0.32,-13.51
-9.67,-17.55
16.14,34.24
-4.82,-9.19
-0.71,-0.9
12.35,1.41
8.21,13.81
6.72,15.07
-17.87,-45.77
17.73,28.95
0.97,15.08
-8.49,-7.41
-2.23,-4.71
-3.77,10.72
22.9,43.3
-9.03,-10.55
12.6,19.83
-5.93,-23.73
5.07,9.79
-4.13,12.26
7.54,37.38
3.96,-4.36
5.1,10.28
-10.58,-8.81
-4.52,-3.74
-11.44,-8.49
-19.49,-22.67
14.45,21.51
-5.36,-9.3
-15.45,-0.89
-25.2,-21.89
3.37,17.52
-17.76,-3.47
30.94,35.93
18.36,31.16
8.38,27.81
14.86,29.87
9.12,1.82
-6.97,-12.27
3.05,-3.51
-10.12,-8.81
-24.82,-39.81
-3.0,-8.29
0.54,-2.33
-7.59,-7.92
-0.95,-2.28
-2.67,4.84
-19.24,-22.36
-8.64,0.52
-19.93,-31.79
-13.46,-22.63
4.5,11.22
-10.28,-26.41
-32.19,-23.4
-21.82,-11.41
8.11,10.27
25.0,15.71
-5.79,-1.3
5.89,10.67
-3.46,7.15
-21.76,-35.7
9.04,20.29
27.2,44.8
-26.21,-5.53
37.11,50.91
11.26,13.97
-3.42,-12.81
-1.84,-7.43
8.15,29.87
5.94,26.2
-11.64,-20.44
-29.96,-23.39
7.19,4.3
1.17,-7.07
8.52,11.53
-9.7,-9.58
-20.82,-29.48
-1.84,5.97
-11.99,-6.85
23.13,12.1
8.09,6.6
-10.31,-13.13
-5.54,-9.57
4.17,9.39
-10.99,17.98
24.5,23.22
9.37,8.0
-4.04,0.57
5.47,1.0
2.26,1.76
-1.61,-10.48
-2.97,1.71
-0.64,-5.7
-7.11,3.79
8.8,15.48
12.15,11.23
-37.12,-49.09
4.34,-0.25
9.68,2.94
0.3,-4.88
-8.8,-5.39
11.13,29.69
0.35,-13.07
6.64,12.75
8.63,21.83
-2.56,14.06
-16.37,-26.84
15.61,8.87
13.57,24.11
8.17,3.0
4.15,-1.45
0.93,4.88
17.16,19.55
38.74,72.84
-7.04,-12.32
-11.84,-2.81
-4.77,8.32
-12.44,-2.51
2.44,9.13
10.99,24.23
-12.02,1.88
14.12,31.37
0.52,-10.12
-7.66,-9.13
-16.95,-7.15
-9.25,-2.59
5.65,-5.99
16.68,17.05
-6.06,13.57
10.44,12.7
-7.89,0.95
-10.98,-33.03
-7.36,2.77
2.45,2.4
-0.34,18.97
28.38,4.69
6.97,9.0
2.58,6.87
12.42,15.43
-7.11,-9.6
0.11,-2.51
3.74,11.69
-1.76,-12.7
25.18,39.94
-7.46,-11.68
17.56,13.08
-5.23,-16.1
-3.15,-23.23
-9.98,-9.7
5.5,0.35
18.54,19.88
33.17,39.4
-7.32,-18.35
-8.58,-3.77
-1.97,-12.76
-5.59,-18.08
-13.71,-27.76
3.85,-3.58
13.18,11.02
3.92,-4.06
0.04,-9.26
8.22,1.76
3.21,-11.26
-3.7,-1.12
29.01,35.06
-5.45,6.79
-11.66,-8.59
-6.19,7.04
-13.86,1.87
9.37,19.87
10.48,-7.09
9.45,-2.54
1.41,-8.48
-30.35,-16.72
-0.55,4.43
9.12,4.45
2.02,-0.34
-9.83,-1.07
5.79,8.2
24.24,102.5
7.86,0.82
-17.7,-9.14
6.37,5.41
0.75,-2.44
-13.03,-21.76
-22.45,-19.18
14.3,15.13
1.31,3.16
2.07,-4.08
11.26,33.0
-16.87,-15.34
-2.03,-13.96
10.15,27.61
9.36,21.45
8.43,-3.29
-1.04,19.12
-1.41,-5.2
4.54,-0.63
-1.63,-2.87
-5.34,-3.92
3.33,9.52
11.3,12.25
4.68,6.32
5.39,-3.18
6.36,-4.07
0.4,-11.21
3.41,21.85
-3.29,1.15
4.53,2.79
3.51,-10.25
10.13,18.81
-9.62,-16.1
-15.1,-13.59
1.41,-0.55
4.97,31.35
-16.85,-28.19
2.08,2.36
-1.98,-13.35
-27.73,-18.92
-5.12,-13.77
-6.72,-11.51
8.38,6.08
-17.26,-20.94
-0.03,-9.41
-0.93,-1.97
-17.17,-33.01
8.31,12.63
-9.38,-22.43
-3.51,-7.52
6.46,22.45
8.36,-5.35
-1.68,0.2
-5.66,-4.92
-4.55,13.15
-8.75,2.99
-4.46,9.95
4.58,2.11
-2.72,-16.94
5.68,-9.22
-18.89,-15.97
0.48,3.27
9.99,4.51
-3.96,-24.67
-2.1,8.62
7.98,17.51
-9.34,-19.26
-14.13,-0.1
-10.13,-1.61
5.0,20.87
-2.42,-30.73
-6.4,-6.07
3.04,5.62
-1.03,-7.32
4.84,14.86
1.64,22.72
-3.46,-24.56
2.48,20.98
8.3,-9.63
-25.3,-38.92
-8.47,-9.46
-8.84,-6.61
7.61,1.15
-17.19,-2.37
