Champion,Gold_Data
aatrox,"[0.49, 89.82, 298.37, 342.02, 330.58, 318.71, 352.09, 334.22, 332.21, 355.13, 358.23, 358.32, 380.79, 404.46, 361.68, 399.2, 407.16, 409.08, 342.03, 410.47, 427.66, 398.25, 393.32, 336.82, 348.87, 387.82, 487.82, 489.7, 387.0, 415.53]"
ahri,"[2.48, 136.11, 318.86, 374.21, 364.4, 314.99, 387.73, 377.83, 368.08, 411.88, 408.22, 369.21, 407.74, 422.21, 368.85, 443.92, 413.23, 435.48, 400.46, 436.49, 430.48, 422.57, 401.52, 400.89, 397.2, 469.5, 458.43, 482.44, 419.78, 436.63]"
kaisa,"[0.9, 111.52, 330.84, 345.37, 339.39, 326.13, 384.94, 371.59, 366.68, 404.87, 380.2, 381.9, 434.1, 457.61, 408.85, 498.59, 494.16, 472.72, 493.42, 472.99, 499.21, 508.74, 518.72, 509.73, 479.77, 595.24, 651.96, 639.12, 532.1, 598.14]"
nilah,"[0.0, 97.0, 320.75, 309.25, 407.25, 335.0, 393.0, 413.75, 419.5, 396.75, 424.5, 326.25, 390.0, 343.75, 371.75, 459.25, 263.75, 533.0, 457.75, 487.75, 302.25, 365.0, 464.75, 454.75, 648.0, 687.0, 413.5, 789.75, 213.0, 310.5]"
poppy,"[1.24, 97.67, 286.14, 278.45, 246.8, 270.04, 276.31, 281.62, 279.21, 292.48, 304.65, 295.06, 303.33, 298.35, 290.61, 307.3, 298.33, 290.83, 287.34, 289.51, 272.05, 281.8, 313.72, 289.63, 299.27, 325.91, 329.89, 336.21, 304.85, 298.26]"
rakan,"[0.74, 66.48, 199.65, 215.25, 199.42, 210.51, 230.5, 217.85, 244.66, 233.93, 244.84, 262.5, 252.36, 242.12, 228.65, 240.41, 229.99, 237.14, 222.8, 230.41, 236.11, 257.82, 252.0, 250.62, 230.39, 276.47, 292.03, 285.63, 284.29, 290.44]"
taliyah,"[0.94, 138.8, 314.03, 368.29, 366.57, 312.17, 358.44, 367.5, 344.77, 395.72, 403.58, 359.24, 423.92, 422.43, 364.77, 430.53, 420.68, 447.5, 417.28, 413.92, 412.88, 458.39, 435.99, 422.91, 396.04, 452.6, 462.84, 468.61, 456.5, 457.97]"
vi,"[0.32, 128.22, 386.19, 374.32, 316.52, 315.79, 267.96, 373.07, 349.63, 365.99, 341.97, 312.43, 378.27, 408.98, 375.02, 407.13, 388.79, 380.38, 377.57, 373.4, 350.59, 341.5, 351.0, 347.36, 364.1, 351.27, 386.77, 380.94, 331.42, 372.3]"
warwick,"[2.5, 70.25, 320.75, 400.75, 290.75, 226.25, 305.75, 308.25, 274.25, 298.0, 371.5, 272.25, 337.0, 365.0, 301.5, 368.75, 382.5, 300.75, 380.5, 465.5, 339.5, 365.25, 348.0, 435.0, 377.25, 299.0, 384.5, 178.75, 363.0, 298.5]"
xin zhao,"[1.54, 129.42, 392.23, 396.28, 311.64, 333.73, 265.04, 358.62, 331.94, 371.2, 342.46, 316.48, 350.68, 398.92, 372.26, 375.83, 372.28, 387.01, 391.8, 355.22, 355.17, 370.75, 353.01, 362.64, 341.86, 378.39, 389.32, 411.26, 390.9, 391.79]"
alistar,"[0.3, 63.52, 191.1, 200.38, 200.36, 195.26, 221.58, 213.25, 228.76, 224.8, 238.49, 247.79, 241.45, 238.81, 224.91, 241.09, 231.85, 228.04, 232.45, 213.75, 227.59, 234.59, 229.87, 228.94, 224.32, 251.77, 273.9, 281.22, 276.08, 282.45]"
corki,"[0.48, 120.94, 327.98, 361.24, 339.69, 317.37, 375.25, 368.43, 354.77, 389.31, 385.16, 375.76, 420.45, 426.72, 372.05, 472.0, 454.91, 436.27, 469.67, 450.38, 479.98, 452.22, 415.53, 465.79, 455.3, 484.02, 529.49, 529.24, 540.92, 515.81]"
ezreal,"[1.74, 114.77, 340.85, 367.4, 328.04, 325.01, 377.31, 365.34, 355.37, 406.08, 377.61, 364.76, 394.75, 416.92, 348.19, 445.9, 442.25, 441.46, 446.89, 436.5, 438.34, 468.89, 458.5, 463.03, 433.01, 506.41, 557.93, 550.74, 536.85, 472.3]"
jax,"[1.44, 98.26, 301.1, 319.48, 319.47, 288.01, 361.74, 330.66, 327.25, 362.57, 355.45, 356.73, 385.09, 373.02, 355.61, 419.57, 425.57, 445.75, 415.94, 399.48, 412.26, 429.17, 412.75, 426.12, 405.11, 434.55, 506.16, 472.57, 443.85, 477.81]"
ksante,"[0.53, 88.57, 291.35, 341.03, 310.38, 313.17, 360.35, 332.07, 330.89, 381.92, 349.71, 349.51, 385.51, 363.92, 345.97, 399.86, 386.75, 401.16, 390.81, 375.24, 369.07, 356.22, 347.94, 367.38, 349.41, 386.29, 401.13, 353.87, 390.81, 365.93]"
maokai,"[0.48, 120.63, 369.55, 357.19, 296.6, 291.63, 278.26, 315.07, 321.82, 339.06, 315.04, 301.64, 316.12, 327.54, 351.4, 349.79, 315.54, 321.64, 315.17, 303.92, 286.39, 302.7, 306.8, 287.43, 286.84, 298.61, 332.53, 315.94, 313.23, 341.78]"
rell,"[0.75, 63.84, 203.82, 214.32, 200.26, 204.38, 226.34, 211.97, 239.9, 237.7, 241.27, 255.39, 242.65, 239.58, 237.18, 237.9, 238.31, 231.24, 229.38, 229.09, 229.42, 233.5, 233.84, 250.27, 243.27, 257.69, 285.73, 273.39, 266.71, 264.12]"
ryze,"[0.52, 133.71, 327.18, 368.86, 371.14, 321.63, 386.59, 384.97, 359.17, 401.85, 395.4, 350.1, 401.64, 390.54, 347.76, 419.47, 431.03, 441.56, 443.36, 419.72, 422.16, 444.16, 446.4, 439.5, 416.03, 489.29, 508.7, 517.92, 511.79, 526.08]"
varus,"[0.41, 107.12, 336.4, 370.83, 345.8, 313.27, 391.97, 368.36, 357.76, 395.15, 398.22, 373.0, 435.16, 429.5, 353.24, 429.76, 446.99, 445.17, 437.56, 438.66, 435.12, 450.0, 424.69, 438.48, 436.94, 519.25, 543.67, 552.35, 522.35, 515.28]"
wukong,"[1.98, 131.06, 398.29, 383.36, 297.6, 337.24, 260.91, 363.97, 324.07, 372.57, 336.66, 338.27, 347.34, 395.08, 377.68, 402.22, 399.21, 393.2, 408.78, 376.45, 366.42, 382.76, 365.77, 369.27, 367.26, 374.96, 401.18, 400.94, 365.51, 355.33]"
annie,"[3.58, 130.99, 319.18, 381.61, 357.19, 308.9, 374.25, 364.99, 341.67, 379.96, 365.65, 354.88, 399.26, 388.09, 363.85, 367.46, 415.42, 376.52, 426.61, 392.94, 360.68, 400.39, 358.61, 375.8, 382.43, 368.19, 417.24, 438.33, 393.27, 384.68]"
jhin,"[0.58, 115.05, 329.35, 360.24, 327.87, 315.4, 386.17, 353.06, 346.69, 375.31, 388.77, 362.48, 414.54, 432.63, 349.98, 457.89, 443.86, 460.34, 468.52, 439.44, 444.72, 463.2, 453.3, 449.23, 478.05, 509.8, 562.81, 532.8, 490.59, 508.19]"
lucian,"[5.46, 110.78, 327.24, 365.27, 344.51, 341.35, 394.87, 348.86, 336.5, 381.45, 387.18, 387.17, 448.92, 442.82, 366.32, 448.05, 475.97, 466.23, 485.38, 467.2, 462.26, 450.3, 475.39, 456.05, 493.51, 541.63, 572.97, 534.41, 495.65, 476.38]"
